Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
44,1,1,8,2,0,3,1,3,3,1,2,1,4,1,0,3,22879
35,1,3,20,3,1,3,4,3,3,1,3,0,1,1,2,3,27306
47,1,3,7,3,0,4,4,3,5,1,3,0,2,1,2,3,29131
32,1,1,6,2,1,3,3,1,4,1,2,0,3,1,0,2,21220
59,1,1,9,1,1,3,4,0,3,2,6,0,2,1,2,1,21157
44,1,3,11,3,1,2,3,2,4,0,1,0,5,1,1,4,33213
32,1,1,35,2,0,2,4,0,4,2,2,0,3,1,0,1,17837
27,1,3,7,2,1,3,4,1,3,1,3,0,5,0,2,2,23974
38,0,3,8,2,1,2,4,1,3,0,4,0,5,1,1,2,20249
32,1,1,12,1,1,3,4,0,3,1,2,1,4,1,1,1,23499
40,1,1,30,1,1,3,3,1,3,1,2,0,3,1,1,2,18319
38,1,1,20,3,1,3,4,1,3,1,3,0,1,0,1,2,22963
35,0,3,6,3,0,3,3,3,3,3,2,0,5,1,0,3,23789
35,1,1,8,2,0,3,3,0,5,1,2,1,1,1,1,1,17074
34,1,1,17,3,1,3,6,0,3,1,2,0,5,0,1,1,22086
33,1,1,36,2,0,3,5,0,4,3,3,0,3,1,1,1,21515
51,1,1,15,2,1,3,3,0,3,0,4,0,3,1,0,1,17075
29,0,3,30,1,1,2,1,0,5,2,2,0,3,1,1,1,16091
34,0,3,25,3,1,3,2,1,3,2,1,1,2,1,2,2,20304
38,1,1,14,3,1,2,4,3,3,2,6,0,2,0,1,3,32342
46,1,1,6,3,1,3,3,3,5,1,1,0,2,0,0,3,24396
54,1,2,25,3,1,2,3,3,4,0,3,0,3,1,0,3,25725
56,1,1,15,3,1,2,3,4,3,1,1,0,4,0,0,0,26103
30,0,1,10,1,1,2,3,0,3,2,19,1,4,1,1,1,17285
