Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
26,0,2,23,2,0,2,3,0,3,1,1,1,5,0,1,1,17741
42,1,1,6,2,0,2,4,1,3,0,1,1,3,0,1,2,21062
56,0,1,9,2,1,4,4,3,4,1,5,0,1,0,2,3,29654
27,0,3,36,3,1,4,6,1,5,3,2,0,3,1,2,2,23647
37,1,1,9,2,0,4,4,0,3,0,6,0,5,1,1,1,21221
31,1,2,28,2,1,2,5,0,3,1,2,0,1,0,1,1,24852
49,0,3,8,3,1,3,4,1,4,1,3,0,3,1,2,2,20390
43,0,1,16,2,0,2,3,0,3,2,1,0,5,0,0,1,17455
40,1,3,9,2,1,3,2,3,3,3,2,0,1,0,1,3,26558
58,1,1,31,2,1,3,3,3,3,1,5,1,4,1,2,3,28117
56,1,1,27,1,1,3,4,1,3,0,5,1,2,1,2,2,24093
56,0,3,12,2,0,2,2,4,5,0,1,0,3,1,0,0,28212
52,1,3,34,2,1,3,4,1,3,2,3,1,5,1,2,2,32704
36,1,1,7,1,0,3,5,3,5,1,3,1,1,1,0,3,25252
24,0,1,15,2,1,2,4,0,4,1,2,0,5,1,0,1,17694
30,1,3,14,2,1,3,3,3,3,1,6,0,3,1,0,3,22264
25,1,1,15,2,1,2,3,0,5,2,4,0,1,1,0,1,17096
37,1,1,11,2,1,3,5,1,3,3,3,0,5,1,2,2,24488
20,1,1,16,3,1,2,3,0,3,2,2,1,5,1,1,1,16009
44,1,3,11,3,0,3,5,3,3,2,5,0,3,1,1,3,28909
29,1,3,12,3,1,4,4,1,3,3,3,0,3,0,2,2,23586
36,1,1,14,2,1,3,4,3,3,2,5,0,3,0,2,3,28899
49,1,1,11,2,1,4,5,3,3,2,2,0,5,1,2,3,29677
36,1,1,12,2,0,2,2,1,3,0,4,0,2,0,0,2,18038
41,1,3,9,3,0,3,4,1,4,1,2,0,1,0,1,2,24393
34,1,2,10,2,1,3,4,0,4,1,5,1,5,0,2,1,20955
30,0,3,9,2,1,3,4,1,3,3,3,0,2,0,1,2,23232
45,0,1,13,2,1,3,3,3,5,1,2,0,2,1,2,3,20210
56,1,1,27,1,1,3,4,1,3,1,5,1,1,0,1,2,24093
18,0,1,11,2,1,3,3,0,3,2,2,0,1,0,1,1,16051
40,1,1,7,3,1,3,2,3,3,1,2,0,3,1,1,3,28291
33,1,1,6,2,1,3,3,0,3,2,2,1,3,1,0,1,17686
31,1,3,12,3,0,2,5,1,3,1,3,0,1,1,1,2,24796
29,0,1,13,2,1,3,5,0,3,1,3,1,4,1,1,1,21381
44,0,1,23,2,1,3,5,0,3,2,3,0,4,1,1,1,17290
38,0,1,12,3,0,3,5,1,3,1,1,1,2,0,2,2,20329
36,1,1,22,2,0,2,1,0,5,2,2,0,1,1,0,1,17743
30,1,3,13,3,1,2,3,0,4,2,1,0,1,0,0,1,17983
37,1,3,12,3,1,3,3,1,3,0,5,0,3,0,0,2,21502
49,1,3,36,3,0,4,4,3,3,1,5,0,4,0,2,3,31182
26,1,1,9,2,1,3,4,0,3,1,8,1,5,0,1,1,22655
36,1,3,14,2,1,4,4,0,3,0,3,0,3,1,1,1,21082
39,0,1,36,2,0,3,4,1,3,2,3,0,3,1,1,2,21084
35,0,1,9,2,1,2,4,0,3,1,2,0,1,1,1,1,16281
51,0,1,6,3,0,1,4,3,5,3,4,0,2,1,0,3,22484
37,1,3,8,3,1,3,3,1,3,1,5,1,3,0,2,2,24602
28,0,1,10,3,1,3,4,0,3,1,3,0,1,0,1,1,20384
35,0,3,14,3,0,3,4,3,3,1,5,1,5,1,2,3,25377
31,1,1,14,3,1,3,5,0,4,1,3,0,5,0,1,1,20819
31,1,2,24,2,1,2,1,0,5,1,1,0,1,1,0,1,17956
30,0,1,7,2,1,4,2,1,3,3,2,1,3,0,2,2,24972
35,1,1,22,2,1,3,3,3,3,1,5,1,1,0,0,3,22632
46,0,3,13,3,0,3,5,3,3,3,8,0,4,1,1,3,27543
21,1,3,28,3,1,3,2,0,3,3,3,0,3,1,2,1,21356
30,1,3,33,3,1,2,3,1,3,1,1,0,3,1,0,2,20304
37,0,3,10,3,1,3,5,3,3,1,6,0,1,0,1,3,28377
48,0,3,10,3,0,3,4,4,3,1,2,1,5,1,1,0,32448
36,1,1,16,3,1,3,4,1,3,3,3,0,4,0,2,2,23776
49,0,1,8,2,1,2,3,2,3,1,4,0,3,1,0,4,34161
33,1,1,6,2,0,2,4,1,3,3,1,0,4,1,1,2,21949
20,1,1,10,3,0,4,4,0,4,2,3,0,3,1,3,1,20161
30,1,3,7,3,0,3,5,0,3,1,8,1,1,1,2,1,21478
32,1,1,30,3,1,4,5,1,3,0,2,0,3,1,2,2,24260
58,1,1,8,2,1,2,3,2,4,2,1,1,3,1,0,4,34246
29,0,1,9,2,1,3,5,0,3,0,3,1,4,1,1,1,22545
33,1,1,13,2,1,3,4,0,3,3,5,0,1,0,2,1,21716
35,1,3,6,3,1,3,3,3,4,1,2,0,4,0,0,3,22295
42,0,1,11,2,1,3,3,0,3,1,5,0,3,0,1,1,17093
42,1,1,29,2,0,2,3,4,3,2,3,0,3,0,0,0,30992
48,1,1,8,1,1,3,1,0,4,2,6,0,2,0,2,1,17559
27,1,3,14,3,0,2,3,1,4,0,2,0,2,0,0,2,21214
22,1,3,29,1,1,3,4,0,3,3,3,0,2,1,2,1,22125
28,0,1,30,1,1,3,4,3,5,3,2,0,2,0,0,3,23722
38,1,1,21,2,0,4,4,0,5,1,3,0,4,1,1,1,21712
41,1,1,18,1,0,2,3,2,3,1,2,0,4,1,1,4,34545
50,1,1,30,2,1,3,3,4,3,1,4,1,4,1,2,0,28973
35,1,3,7,3,1,4,2,1,3,1,2,0,5,0,2,2,28403
21,1,1,18,3,0,4,5,0,5,3,3,1,3,0,2,1,21278
24,1,1,6,3,1,3,3,0,3,1,3,1,3,0,2,1,17293
49,1,1,13,2,1,2,4,3,3,3,1,0,1,1,0,3,25965
38,1,1,6,2,0,2,2,1,3,3,1,0,2,1,1,2,22625
53,1,1,18,2,0,3,4,1,3,1,2,0,1,1,1,2,21827
35,1,1,9,3,1,4,2,0,3,1,2,1,1,0,2,1,21610
27,1,3,30,3,0,3,5,1,3,1,2,1,1,0,1,2,22835
35,1,1,15,2,0,3,4,3,3,0,2,1,4,1,1,3,25685
28,0,1,15,2,1,3,6,0,3,0,3,0,2,1,2,1,23299
34,0,1,7,3,1,3,4,1,5,2,1,0,1,0,0,2,20343
54,1,3,7,3,0,3,4,1,5,3,2,0,1,1,2,2,27059
22,1,1,21,3,0,2,3,0,3,2,2,0,1,1,1,1,17871
39,0,1,10,2,1,3,4,0,3,0,5,0,3,1,2,1,21499
32,1,1,16,3,1,1,3,3,3,3,3,0,1,0,0,3,26244
32,1,1,14,3,0,3,1,1,3,0,6,0,3,1,2,2,20175
37,1,3,7,2,0,4,4,1,3,3,8,0,1,1,2,2,25493
37,1,3,9,2,1,4,4,0,3,3,5,1,3,0,1,1,21322
36,1,1,8,3,1,3,3,0,3,2,5,0,5,1,0,1,17519
29,0,3,26,1,0,2,3,0,3,0,2,0,3,0,1,1,17157
37,1,3,12,3,1,3,3,1,3,1,5,0,3,1,0,2,21502
50,1,1,6,3,1,3,3,4,3,1,1,0,5,0,2,0,32399
59,1,3,6,1,1,3,3,3,3,0,4,1,2,0,1,3,26904
39,1,2,9,2,0,2,2,1,4,0,1,0,2,1,0,2,21389
27,0,1,30,2,1,3,4,0,3,2,2,1,3,1,1,1,17534
55,1,1,6,3,1,2,3,2,5,2,1,1,2,1,0,4,34045
50,1,1,23,3,0,4,4,0,5,1,6,1,1,1,2,1,21265
27,1,2,32,2,0,4,4,0,3,1,3,0,4,1,2,1,21620
29,1,1,13,1,0,2,3,0,3,1,4,1,4,1,1,1,18339
38,0,3,11,3,1,3,4,0,3,1,6,0,4,1,1,1,21471
51,1,1,6,2,1,3,3,0,3,0,2,0,4,1,0,1,17723
29,1,1,17,2,0,3,4,1,3,3,5,0,4,0,2,2,22338
31,1,3,13,2,1,2,4,3,3,1,1,0,3,1,0,3,26557
38,1,3,9,3,1,4,4,1,3,0,6,1,3,0,2,2,28280
36,1,3,9,3,0,4,4,0,3,0,3,0,2,1,1,1,20692
31,1,1,9,2,0,3,6,1,3,3,4,0,2,0,2,2,24769
